k_nummer;b_nummer;bestelldatum;woche;produkt
k001;b001;2022-01-04 07:16;2022 KW 01;2mmar
k002;b002;2022-01-09 16:25;2022 KW 01;1jsta
k003;b003;2022-01-10 22:49;2022 KW 01;2mmar
k004;b004;2022-01-14 09:52;2022 KW 02;3msta
k005;b005;2022-01-17 20:03;2022 KW 02;1jsta
k006;b006;2022-01-19 12:22;2022 KW 03;1jstu
k007;b007;2022-01-22 17:06;2022 KW 03;1jsta
k008;b008;2022-01-24 06:38;2022 KW 03;3msta
k009;b009;2022-01-29 23:20;2022 KW 04;2mmar
k010;b010;2022-02-03 08:51;2022 KW 05;1jsta
k011;b011;2022-02-08 01:23;2022 KW 06;6mvip
k012;b012;2022-02-10 16:59;2022 KW 06;2mmar
k013;b013;2022-02-11 21:32;2022 KW 06;2mmar
k014;b014;2022-02-16 19:08;2022 KW 07;1jsta
k015;b015;2022-02-17 15:34;2022 KW 07;3msta
k016;b016;2022-02-24 05:15;2022 KW 08;2mmar
k017;b017;2022-02-27 07:04;2022 KW 08;3msta
k018;b018;2022-02-29 12:56;2022 KW 09;1jsta
k019;b019;2022-03-03 18:30;2022 KW 09;1jsta
k020;b020;2022-03-05 04:05;2022 KW 09;3msta
k021;b021;2022-03-11 13:33;2022 KW 10;3msta
k022;b022;2022-03-14 22:41;2022 KW 11;1jstu
k023;b023;2022-03-19 08:12;2022 KW 11;2mmar
k024;b024;2022-03-22 16:26;2022 KW 12;1jsta
k025;b025;2022-03-25 10:40;2022 KW 12;3msta
k026;b026;2022-03-30 15:43;2022 KW 13;2mmar
k027;b027;2022-03-31 08:01;2022 KW 13;3msta
k028;b028;2022-04-05 07:11;2022 KW 14;3msta
k029;b029;2022-04-09 20:57;2022 KW 14;1jsta
k030;b030;2022-04-10 11:54;2022 KW 14;2mmar
k031;b031;2022-04-14 09:14;2022 KW 15;1jsta
k032;b032;2022-04-19 12:06;2022 KW 16;6mvip
k033;b033;2022-04-19 23:51;2022 KW 16;1jsta
k034;b034;2022-04-24 22:48;2022 KW 16;1jstu
k035;b035;2022-04-26 05:19;2022 KW 17;3msta
k036;b036;2022-05-01 13:27;2022 KW 17;2mmar
k037;b037;2022-05-02 07:02;2022 KW 18;1jsta
k038;b038;2022-05-04 15:35;2022 KW 18;1jsta
k039;b039;2022-05-10 07:49;2022 KW 19;1jsta
k040;b040;2022-05-12 16:01;2022 KW 19;3msta
k041;b041;2022-05-16 15:44;2022 KW 20;2mmar
k042;b042;2022-05-17 23:40;2022 KW 20;1jsta
k043;b043;2022-05-21 12:25;2022 KW 20;3msta
k044;b044;2022-05-23 11:31;2022 KW 21;1jsta
k045;b045;2022-06-02 05:15;2022 KW 22;2mmar
k046;b046;2022-06-12 16:39;2022 KW 23;1jstu
k047;b047;2022-06-16 10:44;2022 KW 24;1jsta
k048;b048;2022-06-16 17:20;2022 KW 24;2mmar
k049;b049;2022-06-22 14:07;2022 KW 25;1jstu
k050;b050;2022-06-30 20:04;2022 KW 26;1jsta
k051;b051;2022-07-08 15:22;2022 KW 27;2mmar
k052;b052;2022-07-12 15:46;2022 KW 28;1jsta
k053;b053;2022-07-18 10:17;2022 KW 29;1jsta
k054;b054;2022-07-26 19:38;2022 KW 30;3msta
k055;b055;2022-08-01 00:43;2022 KW 31;1jsta
k056;b056;2022-08-03 18:07;2022 KW 31;1jsta
k057;b057;2022-08-03 23:40;2022 KW 31;1jsta
k058;b058;2022-08-05 22:15;2022 KW 31;1jsta
k059;b059;2022-08-09 05:23;2022 KW 32;6mvip
k060;b060;2022-08-10 14:57;2022 KW 32;3msta
k061;b061;2022-08-14 07:14;2022 KW 32;2mmar
k062;b062;2022-08-16 15:08;2022 KW 33;1jsta
k063;b063;2022-08-26 17:02;2022 KW 34;2mmar
k064;b064;2022-08-31 21:15;2022 KW 35;1jsta
k065;b065;2022-09-11 16:25;2022 KW 36;1jsta
k066;b066;2022-09-14 08:04;2022 KW 37;3msta
k067;b067;2022-09-21 14:39;2022 KW 38;3msta
k068;b068;2022-09-24 15:31;2022 KW 38;1jsta
k069;b069;2022-09-26 06:26;2022 KW 39;1jsta
k070;b070;2022-10-05 20:20;2022 KW 40;3msta
k071;b071;2022-10-07 19:54;2022 KW 40;1jsta
k072;b072;2022-10-12 09:52;2022 KW 41;1jsta
k073;b073;2022-10-17 10:16;2022 KW 42;1jstu
k074;b074;2022-10-27 21:49;2022 KW 43;1jsta
k075;b075;2022-10-29 12:42;2022 KW 43;2mmar
k076;b076;2022-10-31 05:05;2022 KW 44;1jsta
k077;b077;2022-11-01 13:27;2022 KW 44;1jstu
k078;b078;2022-11-04 22:23;2022 KW 44;3msta
k079;b079;2022-11-06 16:55;2022 KW 44;1jsta
k080;b080;2022-11-08 15:08;2022 KW 45;2mmar
k081;b081;2022-11-13 08:24;2022 KW 45;1jsta
k082;b082;2022-11-15 09:33;2022 KW 46;6mvip
k083;b083;2022-11-22 11:58;2022 KW 47;3msta
k084;b084;2022-11-24 20:21;2022 KW 47;3msta
k085;b085;2022-11-29 07:19;2022 KW 48;1jstu
k086;b086;2022-12-07 14:00;2022 KW 49;3msta
k087;b087;2022-12-12 22:11;2022 KW 50;3msta
k088;b088;2022-12-17 17:23;2022 KW 50;1jstu
k089;b089;2022-12-20 14:57;2022 KW 51;2mmar
k090;b090;2022-12-29 08:41;2022 KW 52;6mvip
k091;b091;2023-01-02 10:10;2023 KW 01;1jsta
k092;b092;2023-01-04 06:22;2023 KW 01;1jsta
k093;b093;2023-01-04 19:34;2023 KW 01;3msta
k094;b094;2023-01-11 20:36;2023 KW 02;1jsta
k095;b095;2023-01-17 18:22;2023 KW 03;6mvip
k096;b096;2023-01-25 22:53;2023 KW 04;1jsta
k097;b097;2023-01-26 14:02;2023 KW 04;1jsta
k098;b098;2023-01-31 16:15;2023 KW 05;1jstu
k099;b099;2023-02-04 23:37;2023 KW 05;3msta
k100;b100;2023-02-05 11:09;2023 KW 05;3msta
k101;b101;2023-02-06 07:50;2023 KW 06;2mmar
k102;b102;2023-02-10 14:55;2023 KW 06;2mmar
k103;b103;2023-02-14 20:34;2023 KW 07;3msta
k104;b104;2023-02-16 22:06;2023 KW 07;3msta
k105;b105;2023-02-19 07:11;2023 KW 07;1jsta
k106;b106;2023-02-19 09:29;2023 KW 07;2mmar
k107;b107;2023-02-22 17:01;2023 KW 08;1jsta
k108;b108;2023-02-23 21:22;2023 KW 08;1jstu
k109;b109;2023-02-28 15:52;2023 KW 09;2mmar
k110;b110;2023-03-06 14:59;2023 KW 10;1jsta
k111;b111;2023-03-07 20:28;2023 KW 10;1jsta
k112;b112;2023-03-11 19:51;2023 KW 10;1jsta
k113;b113;2023-03-14 06:13;2023 KW 11;2mmar
k114;b114;2023-03-16 17:48;2023 KW 11;2mmar
k115;b115;2023-03-17 10:23;2023 KW 11;1jstu
k116;b116;2023-03-19 23:15;2023 KW 11;2mmar
k117;b117;2023-03-20 17:11;2023 KW 12;6mvip
k118;b118;2023-03-29 08:37;2023 KW 13;1jsta
k119;b119;2023-04-01 13:45;2023 KW 13;1jsta
k120;b120;2023-04-04 09:20;2023 KW 14;3msta
k121;b121;2023-04-05 14:09;2023 KW 14;2mmar
k122;b122;2023-04-08 15:34;2023 KW 14;3msta
k123;b123;2023-04-10 20:01;2023 KW 15;1jsta
k124;b124;2023-04-16 19:26;2023 KW 15;1jsta
k125;b125;2023-04-20 12:05;2023 KW 16;3msta
k126;b126;2023-04-25 08:54;2023 KW 17;6mvip
k127;b127;2023-04-29 14:56;2023 KW 17;1jsta
k128;b128;2023-05-01 16:10;2023 KW 18;2mmar
k129;b129;2023-05-01 19:29;2023 KW 18;1jsta
k130;b130;2023-05-09 22:17;2023 KW 19;1jsta
k131;b131;2023-05-11 14:02;2023 KW 19;3msta
k132;b132;2023-05-11 21:12;2023 KW 19;1jsta
k133;b133;2023-05-12 08:44;2023 KW 19;3msta
k134;b134;2023-05-14 19:05;2023 KW 19;1jsta
k135;b135;2023-05-15 12:46;2023 KW 20;1jstu
k136;b136;2023-05-16 07:49;2023 KW 20;3msta
k137;b137;2023-05-16 17:07;2023 KW 20;3msta
k138;b138;2023-05-16 23:26;2023 KW 20;1jsta
k139;b139;2023-05-17 05:32;2023 KW 20;2mmar
k140;b140;2023-05-17 13:16;2023 KW 20;1jstu
k141;b141;2023-05-20 17:49;2023 KW 20;3msta
k142;b142;2023-05-22 22:59;2023 KW 21;3msta
k143;b143;2023-05-23 08:27;2023 KW 21;1jsta
k144;b144;2023-05-25 12:14;2023 KW 21;1jsta
